time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2024-04-19 13:50:00,1.06516,1.06517,1.06468,1.06475,656,0,0,2024-04-19 13:59:00,2024-04-19 13:50:00
2024-04-19 14:00:00,1.06474,1.06486,1.06461,1.06482,1033,0,0,2024-04-19 14:00:00,2024-04-19 14:06:00
2024-04-19 14:10:00,1.06481,1.06488,1.06431,1.06462,1125,0,0,2024-04-19 14:13:00,2024-04-19 14:10:00
2024-04-19 14:20:00,1.06461,1.06523,1.06451,1.0648,984,0,0,2024-04-19 14:20:00,2024-04-19 14:26:00
2024-04-19 14:30:00,1.06481,1.06503,1.06472,1.065,984,0,0,2024-04-19 14:36:00,2024-04-19 14:30:00
2024-04-19 14:40:00,1.06499,1.0655,1.06479,1.06543,931,0,0,2024-04-19 14:41:00,2024-04-19 14:49:00
2024-04-19 14:50:00,1.06544,1.06554,1.06506,1.06518,863,0,0,2024-04-19 14:59:00,2024-04-19 14:54:00
2024-04-19 15:00:00,1.06518,1.06553,1.06495,1.06526,1340,0,0,2024-04-19 15:01:00,2024-04-19 15:07:00
2024-04-19 15:10:00,1.06527,1.06588,1.06512,1.0658,1173,0,0,2024-04-19 15:11:00,2024-04-19 15:19:00
2024-04-19 15:20:00,1.06577,1.06627,1.06564,1.06625,1307,0,0,2024-04-19 15:20:00,2024-04-19 15:22:00
2024-04-19 15:30:00,1.06625,1.06725,1.06612,1.06701,1359,0,0,2024-04-19 15:30:00,2024-04-19 15:39:00
2024-04-19 15:40:00,1.06699,1.06736,1.06683,1.06713,1195,0,0,2024-04-19 15:40:00,2024-04-19 15:48:00
2024-04-19 15:50:00,1.0671,1.0671,1.06638,1.06655,1122,0,0,2024-04-19 15:58:00,2024-04-19 15:50:00
2024-04-19 16:00:00,1.06654,1.06681,1.06635,1.06669,982,0,0,2024-04-19 16:05:00,2024-04-19 16:01:00
2024-04-19 16:10:00,1.06671,1.06679,1.06586,1.06661,1313,0,0,2024-04-19 16:15:00,2024-04-19 16:10:00
2024-04-19 16:20:00,1.06662,1.06722,1.06638,1.06717,1425,0,0,2024-04-19 16:20:00,2024-04-19 16:24:00
2024-04-19 16:30:00,1.06717,1.06753,1.06678,1.06699,1734,0,0,2024-04-19 16:31:00,2024-04-19 16:33:00
2024-04-19 16:40:00,1.06698,1.06742,1.06662,1.06664,1487,0,0,2024-04-19 16:49:00,2024-04-19 16:42:00
2024-04-19 16:50:00,1.06665,1.06702,1.0664,1.06658,1532,0,0,2024-04-19 16:52:00,2024-04-19 16:54:00
2024-04-19 17:00:00,1.06657,1.06707,1.06638,1.06703,1531,0,0,2024-04-19 17:03:00,2024-04-19 17:09:00
2024-04-19 17:10:00,1.06701,1.06702,1.06637,1.06642,1516,0,0,2024-04-19 17:19:00,2024-04-19 17:11:00
2024-04-19 17:20:00,1.06641,1.06758,1.06641,1.06754,1505,0,0,2024-04-19 17:20:00,2024-04-19 17:29:00
2024-04-19 17:30:00,1.06754,1.06777,1.06678,1.06697,1648,0,0,2024-04-19 17:38:00,2024-04-19 17:30:00
2024-04-19 17:40:00,1.06698,1.06763,1.0669,1.06713,1445,0,0,2024-04-19 17:41:00,2024-04-19 17:45:00
2024-04-19 17:50:00,1.06713,1.06742,1.06687,1.06695,1767,0,0,2024-04-19 17:57:00,2024-04-19 17:50:00
2024-04-19 18:00:00,1.06693,1.06719,1.06673,1.06698,1219,0,0,2024-04-19 18:07:00,2024-04-19 18:02:00
2024-04-19 18:10:00,1.06699,1.06701,1.06649,1.06671,1273,0,0,2024-04-19 18:14:00,2024-04-19 18:10:00
2024-04-19 18:20:00,1.06672,1.06681,1.06638,1.06648,1119,0,0,2024-04-19 18:22:00,2024-04-19 18:24:00
2024-04-19 18:30:00,1.06649,1.06669,1.06637,1.06648,964,0,0,2024-04-19 18:36:00,2024-04-19 18:30:00
2024-04-19 18:40:00,1.06649,1.06659,1.0659,1.06594,960,0,0,2024-04-19 18:49:00,2024-04-19 18:40:00
2024-04-19 18:50:00,1.06595,1.06604,1.06536,1.0655,1146,0,0,2024-04-19 18:57:00,2024-04-19 18:50:00
2024-04-19 19:00:00,1.06549,1.06597,1.06516,1.0652,1162,0,0,2024-04-19 19:09:00,2024-04-19 19:01:00
2024-04-19 19:10:00,1.06519,1.0652,1.06429,1.06429,1281,0,0,2024-04-19 19:19:00,2024-04-19 19:10:00
2024-04-19 19:20:00,1.0643,1.06445,1.06401,1.06403,1046,0,0,2024-04-19 19:29:00,2024-04-19 19:20:00
2024-04-19 19:30:00,1.06404,1.06486,1.06404,1.06462,963,0,0,2024-04-19 19:30:00,2024-04-19 19:36:00
2024-04-19 19:40:00,1.06461,1.06501,1.06456,1.06482,936,0,0,2024-04-19 19:40:00,2024-04-19 19:44:00
2024-04-19 19:50:00,1.06484,1.0654,1.06478,1.06534,985,0,0,2024-04-19 19:50:00,2024-04-19 19:59:00
2024-04-19 20:00:00,1.06536,1.06567,1.06533,1.0656,868,0,0,2024-04-19 20:00:00,2024-04-19 20:04:00
2024-04-19 20:10:00,1.06561,1.0658,1.0654,1.06577,803,0,0,2024-04-19 20:11:00,2024-04-19 20:15:00
2024-04-19 20:20:00,1.06578,1.06584,1.06509,1.06513,845,0,0,2024-04-19 20:29:00,2024-04-19 20:20:00
2024-04-19 20:30:00,1.06514,1.06549,1.06514,1.06527,805,0,0,2024-04-19 20:30:00,2024-04-19 20:37:00
2024-04-19 20:40:00,1.06527,1.06556,1.06522,1.06556,742,0,0,2024-04-19 20:42:00,2024-04-19 20:49:00
2024-04-19 20:50:00,1.06558,1.06579,1.06539,1.06559,831,0,0,2024-04-19 20:57:00,2024-04-19 20:54:00
2024-04-19 21:00:00,1.06558,1.06559,1.065,1.0651,1285,0,0,2024-04-19 21:07:00,2024-04-19 21:00:00
2024-04-19 21:10:00,1.06512,1.06548,1.0651,1.06545,971,0,0,2024-04-19 21:10:00,2024-04-19 21:19:00
2024-04-19 21:20:00,1.06546,1.06557,1.0649,1.06494,838,0,0,2024-04-19 21:29:00,2024-04-19 21:20:00
2024-04-19 21:30:00,1.06492,1.06508,1.06465,1.06471,717,0,0,2024-04-19 21:38:00,2024-04-19 21:33:00
2024-04-19 21:40:00,1.06472,1.06506,1.06466,1.06503,884,0,0,2024-04-19 21:41:00,2024-04-19 21:49:00
2024-04-19 21:50:00,1.06504,1.06526,1.06495,1.06508,932,0,0,2024-04-19 21:53:00,2024-04-19 21:55:00
2024-04-19 22:00:00,1.06507,1.06536,1.06498,1.06506,767,0,0,2024-04-19 22:00:00,2024-04-19 22:04:00
2024-04-19 22:10:00,1.06505,1.06533,1.065,1.0652,465,0,0,2024-04-19 22:10:00,2024-04-19 22:13:00
2024-04-19 22:20:00,1.0652,1.06528,1.065,1.06523,445,0,0,2024-04-19 22:26:00,2024-04-19 22:29:00
2024-04-19 22:30:00,1.06522,1.06539,1.06504,1.06524,706,0,0,2024-04-19 22:36:00,2024-04-19 22:34:00
2024-04-19 22:40:00,1.06525,1.06532,1.06504,1.06521,845,0,0,2024-04-19 22:44:00,2024-04-19 22:48:00
2024-04-19 22:50:00,1.06521,1.06555,1.06515,1.06548,825,0,0,2024-04-19 22:51:00,2024-04-19 22:57:00
2024-04-19 23:00:00,1.06547,1.0655,1.06531,1.06542,499,0,0,2024-04-19 23:07:00,2024-04-19 23:00:00
2024-04-19 23:10:00,1.06543,1.06552,1.06541,1.06548,259,0,0,2024-04-19 23:15:00,2024-04-19 23:10:00
2024-04-19 23:20:00,1.06547,1.0655,1.06535,1.06543,370,0,0,2024-04-19 23:22:00,2024-04-19 23:21:00
2024-04-19 23:30:00,1.06543,1.06574,1.06541,1.06569,321,0,0,2024-04-19 23:30:00,2024-04-19 23:38:00
2024-04-19 23:40:00,1.06568,1.0657,1.06555,1.06562,321,0,0,2024-04-19 23:42:00,2024-04-19 23:40:00
2024-04-19 23:50:00,1.06562,1.06579,1.0655,1.0655,264,0,0,2024-04-19 23:59:00,2024-04-19 23:55:00
2024-04-22 00:00:00,1.06552,1.06591,1.06496,1.06573,172,22,0,2024-04-22 00:00:00,2024-04-22 00:09:00
2024-04-22 00:10:00,1.06569,1.0661,1.06546,1.066,234,3,0,2024-04-22 00:10:00,2024-04-22 00:15:00
2024-04-22 00:20:00,1.06602,1.06615,1.06512,1.06581,295,3,0,2024-04-22 00:21:00,2024-04-22 00:21:00
2024-04-22 00:30:00,1.06582,1.06594,1.06546,1.0657,157,4,0,2024-04-22 00:35:00,2024-04-22 00:30:00
2024-04-22 00:40:00,1.0657,1.06571,1.0656,1.06571,72,17,0,2024-04-22 00:47:00,2024-04-22 00:40:00
2024-04-22 00:50:00,1.06569,1.06598,1.06556,1.06568,284,11,0,2024-04-22 00:59:00,2024-04-22 00:57:00
2024-04-22 01:00:00,1.06567,1.06597,1.06542,1.06596,306,0,0,2024-04-22 01:01:00,2024-04-22 01:09:00
2024-04-22 01:10:00,1.06594,1.06615,1.06593,1.066,201,0,0,2024-04-22 01:10:00,2024-04-22 01:13:00
2024-04-22 01:20:00,1.06597,1.06612,1.06587,1.06596,137,0,0,2024-04-22 01:25:00,2024-04-22 01:27:00
