time,open,high,low,close,tick_volume,spread,real_volume
2015-09-02 00:00:00,0.95868,0.96999,0.95803,0.96929,1332,0,0
2015-09-03 00:00:00,0.96933,0.97705,0.96827,0.9735,1340,0,0
2015-09-04 00:00:00,0.9734,0.97701,0.96872,0.97199,1518,0,0
2015-09-07 00:00:00,0.97197,0.97643,0.97079,0.97487,839,0,0
2015-09-08 00:00:00,0.97504,0.98216,0.97004,0.97911,2018,0,0
2015-09-09 00:00:00,0.97909,0.98239,0.97161,0.97537,1785,0,0
2015-09-10 00:00:00,0.97527,0.9793,0.97017,0.97323,1623,0,0
2015-09-11 00:00:00,0.97323,0.97966,0.9683,0.96877,1827,0,0
2015-09-14 00:00:00,0.96924,0.97195,0.96679,0.96846,955,0,0
2015-09-15 00:00:00,0.96845,0.97639,0.96706,0.97403,1309,0,0
2015-09-16 00:00:00,0.97399,0.97626,0.96697,0.97142,1602,0,0
2015-09-17 00:00:00,0.97144,0.97248,0.95924,0.95975,1480,0,0
2015-09-18 00:00:00,0.96008,0.97056,0.9528,0.96869,2692,0,0
2015-09-21 00:00:00,0.96971,0.97402,0.96432,0.97172,1740,0,0
2015-09-22 00:00:00,0.97189,0.97534,0.97078,0.97519,583,0,0
2015-09-23 00:00:00,0.9752,0.98014,0.97362,0.97959,866,0,0
2015-09-24 00:00:00,0.97957,0.98045,0.96681,0.97519,2291,0,0
2015-09-25 00:00:00,0.97551,0.98436,0.97438,0.97868,1680,0,0
2015-09-28 00:00:00,0.97826,0.98165,0.97226,0.97364,1417,0,0
2015-09-29 00:00:00,0.9736,0.97495,0.96874,0.97178,1061,0,0
2015-09-30 00:00:00,0.97198,0.9776,0.97094,0.97322,1209,0,0
2015-10-01 00:00:00,0.97321,0.97888,0.97224,0.97717,933,0,0
2015-10-02 00:00:00,0.97719,0.97948,0.96453,0.97217,2489,0,0
2015-10-05 00:00:00,0.97169,0.97679,0.96867,0.97552,1242,0,0
2015-10-06 00:00:00,0.97551,0.97675,0.9665,0.96675,1175,0,0
2015-10-07 00:00:00,0.96679,0.97399,0.96488,0.9736,1142,0,0
2015-10-08 00:00:00,0.97359,0.97382,0.96234,0.96629,1567,0,0
2015-10-09 00:00:00,0.9664,0.9676,0.95869,0.96153,1296,0,0
2015-10-12 00:00:00,0.96135,0.96311,0.95955,0.96279,569,0,0
2015-10-13 00:00:00,0.96277,0.96463,0.9555,0.95786,1336,0,0
2015-10-14 00:00:00,0.95787,0.95855,0.94842,0.94965,1205,0,0
2015-10-15 00:00:00,0.94985,0.95529,0.94766,0.95049,1463,0,0
2015-10-16 00:00:00,0.95051,0.95537,0.94981,0.95382,782,0,0
2015-10-19 00:00:00,0.95368,0.95784,0.95224,0.95635,854,0,0
2015-10-20 00:00:00,0.95642,0.95711,0.94945,0.95625,1516,0,0
2015-10-21 00:00:00,0.9563,0.96103,0.95282,0.9596,1313,0,0
2015-10-22 00:00:00,0.95962,0.9739,0.95802,0.97321,1818,0,0
2015-10-23 00:00:00,0.97322,0.9801,0.97121,0.97971,1130,0,0
2015-10-26 00:00:00,0.97889,0.98392,0.97571,0.98358,1174,0,0
2015-10-27 00:00:00,0.98359,0.98737,0.9806,0.98625,1089,0,0
2015-10-28 00:00:00,0.98634,0.99576,0.98216,0.99424,1931,0,0
2015-10-29 00:00:00,0.99425,0.99563,0.98857,0.98952,940,0,0
2015-10-30 00:00:00,0.98951,0.99109,0.98458,0.98839,1191,0,0
2015-11-02 00:00:00,0.98551,0.9892,0.9836,0.9868,992,0,0
2015-11-03 00:00:00,0.98626,0.99255,0.98447,0.99112,1131,0,0
2015-11-04 00:00:00,0.99108,0.99517,0.98856,0.99324,1107,0,0
2015-11-05 00:00:00,0.99335,0.99794,0.99224,0.99515,961,0,0
2015-11-06 00:00:00,0.99512,1.00766,0.99445,1.00589,1566,0,0
2015-11-09 00:00:00,1.00514,1.00628,0.99981,1.00359,1140,0,0
2015-11-10 00:00:00,1.00357,1.00868,1.00201,1.00641,1051,0,0
2015-11-11 00:00:00,1.0064,1.00723,1.00295,1.00466,683,0,0
2015-11-12 00:00:00,1.00458,1.00855,0.99902,1.00015,1464,0,0
2015-11-13 00:00:00,1.00025,1.0095,0.99994,1.00721,1217,0,0
2015-11-16 00:00:00,1.00625,1.01032,1.00442,1.00976,830,0,0
2015-11-17 00:00:00,1.00978,1.0171,1.00928,1.01471,1072,0,0
2015-11-18 00:00:00,1.01471,1.02204,1.01281,1.0198,1338,0,0
2015-11-19 00:00:00,1.01983,1.0202,1.01223,1.01281,893,0,0
2015-11-20 00:00:00,1.01274,1.0198,1.01227,1.01895,886,0,0
2015-11-23 00:00:00,1.01968,1.0226,1.01759,1.01821,856,0,0
2015-11-24 00:00:00,1.0182,1.01941,1.01444,1.01686,861,0,0
2015-11-25 00:00:00,1.01673,1.02605,1.01442,1.02175,1825,0,0
2015-11-26 00:00:00,1.02145,1.02534,1.0213700000000001,1.0237,570,0,0
2015-11-27 00:00:00,1.02373,1.03283,1.02262,1.02947,1469,0,0
2015-11-30 00:00:00,1.03003,1.03201,1.02586,1.02899,1127,0,0
2015-12-01 00:00:00,1.02896,1.03021,1.02547,1.02597,650,0,0
2015-12-02 00:00:00,1.02595,1.03076,1.01798,1.01847,1809,0,0
2015-12-03 00:00:00,1.01849,1.02697,0.98759,0.99349,5377,0,0
2015-12-04 00:00:00,0.99335,1.00345,0.99123,0.99619,2161,0,0
2015-12-07 00:00:00,0.99755,1.00319,0.99625,1.00001,1143,0,0
2015-12-08 00:00:00,0.99999,1.00107,0.99178,0.99242,1102,0,0
2015-12-09 00:00:00,0.99243,0.9945,0.98203,0.98319,1571,0,0
2015-12-10 00:00:00,0.9832,0.99082,0.98315,0.98775,1080,0,0
2015-12-11 00:00:00,0.98774,0.98989,0.98035,0.98375,1510,0,0
2015-12-14 00:00:00,0.9839,0.98724,0.97867,0.9852,1585,0,0
2015-12-15 00:00:00,0.98526,0.99249,0.97989,0.99152,1895,0,0
2015-12-16 00:00:00,0.99153,0.99204,0.9811,0.99005,2041,0,0
2015-12-17 00:00:00,0.99024,0.99912,0.98951,0.9962,1327,0,0
2015-12-18 00:00:00,0.99628,0.9976,0.99156,0.99193,774,0,0
2015-12-21 00:00:00,0.99305,0.99687,0.98976,0.99239,1357,0,0
2015-12-22 00:00:00,0.99237,0.99378,0.98576,0.98726,1094,0,0
2015-12-23 00:00:00,0.98764,0.99456,0.98749,0.99089,1090,0,0
2015-12-24 00:00:00,0.99123,0.99166,0.9853,0.9865,800,0,0
2015-12-28 00:00:00,0.98692,0.99025,0.98583,0.98828,749,0,0
2015-12-29 00:00:00,0.98827,0.99434,0.98621,0.993,1154,0,0
2015-12-30 00:00:00,0.99302,0.99317,0.98578,0.98878,1055,0,0
2015-12-31 00:00:00,0.98877,1.00295,0.98729,1.00272,1738,0,0
2016-01-04 00:00:00,1.00103,1.00629,0.99243,1.00216,2660,0,0
2016-01-05 00:00:00,1.00217,1.01247,1.00076,1.00864,1696,0,0
2016-01-06 00:00:00,1.00862,1.01221,1.00576,1.00747,1176,0,0
2016-01-07 00:00:00,1.00742,1.00812,0.99225,0.99329,1762,0,0
2016-01-08 00:00:00,0.99327,1.00525,0.9932,0.99488,2250,0,0
2016-01-11 00:00:00,0.99501,1.00233,0.98827,1.00144,2170,0,0
2016-01-12 00:00:00,1.0015,1.00465,0.99668,1.00225,1520,0,0
2016-01-13 00:00:00,1.00224,1.01066,1.00222,1.00597,1316,0,0
2016-01-14 00:00:00,1.00585,1.00922,1.00097,1.00498,1564,0,0
2016-01-15 00:00:00,1.00492,1.00606,0.99588,1.00176,1721,0,0
2016-01-18 00:00:00,1.00159,1.0073,1.00057,1.00532,974,0,0
2016-01-19 00:00:00,1.00535,1.0082,1.00023,1.00344,1404,0,0
2016-01-20 00:00:00,1.00332,1.00583,0.99908,1.00415,1268,0,0
2016-01-21 00:00:00,1.00443,1.01466,1.00128,1.00744,2376,0,0
2016-01-22 00:00:00,1.00743,1.0166,1.00693,1.01607,1071,0,0
2016-01-25 00:00:00,1.01615,1.01681,1.01248,1.01276,528,0,0
2016-01-26 00:00:00,1.01285,1.01988,1.01179,1.01679,1225,0,0
2016-01-27 00:00:00,1.0168,1.01896,1.01304,1.01518,1023,0,0
2016-01-28 00:00:00,1.01519,1.01777,1.01109,1.01375,1193,0,0
2016-01-29 00:00:00,1.0138,1.02564,1.01336,1.02321,1516,0,0
2016-02-01 00:00:00,1.02214,1.02502,1.01558,1.01983,1658,0,0
2016-02-02 00:00:00,1.0198,1.02244,1.01702,1.01879,984,0,0
2016-02-03 00:00:00,1.01864,1.01946,0.99881,1.00431,2698,0,0
2016-02-04 00:00:00,1.00425,1.00744,0.99221,0.9937,1992,0,0
2016-02-05 00:00:00,0.99318,0.99852,0.98827,0.99096,1829,0,0
2016-02-08 00:00:00,0.99233,0.99731,0.98414,0.98705,2107,0,0
2016-02-09 00:00:00,0.98706,0.98747,0.96951,0.9728,2167,0,0
2016-02-10 00:00:00,0.97282,0.98197,0.97105,0.97355,2112,0,0
2016-02-11 00:00:00,0.97356,0.97616,0.96618,0.97252,1893,0,0
2016-02-12 00:00:00,0.97253,0.97908,0.9715,0.977,1070,0,0
2016-02-15 00:00:00,0.97752,0.98893,0.97692,0.98717,1438,0,0
2016-02-16 00:00:00,0.98718,0.98962,0.98473,0.98869,828,0,0
2016-02-17 00:00:00,0.99044,0.99418,0.98982,0.99243,674,0,0
2016-02-18 00:00:00,0.99242,0.99686,0.99049,0.99291,1226,0,0
2016-02-19 00:00:00,0.99289,0.99676,0.98885,0.99068,1362,0,0
2016-02-22 00:00:00,0.98989,1.00033,0.98924,0.99958,1250,0,0
2016-02-23 00:00:00,0.99952,1.0002,0.98957,0.99126,1301,0,0
2016-02-24 00:00:00,0.99127,0.9953,0.98531,0.98886,1758,0,0
2016-02-25 00:00:00,0.98883,0.99524,0.98779,0.99038,1336,0,0
2016-02-26 00:00:00,0.99043,0.9989,0.98717,0.99685,1705,0,0
2016-02-29 00:00:00,0.99801,1.0038,0.99489,0.99843,1741,0,0
2016-03-01 00:00:00,0.9984,1.00096,0.99604,0.99753,898,0,0
2016-03-02 00:00:00,0.99754,1.0009,0.99557,0.99671,984,0,0
2016-03-03 00:00:00,0.9967,0.9983,0.98925,0.99215,1356,0,0
2016-03-04 00:00:00,0.99217,0.99886,0.98789,0.99287,2125,0,0
2016-03-07 00:00:00,0.99326,1.00122,0.99289,0.99532,1461,0,0
2016-03-08 00:00:00,0.99529,0.99707,0.99018,0.99571,1337,0,0
2016-03-09 00:00:00,0.99547,1.00398,0.99401,0.99732,1810,0,0
2016-03-10 00:00:00,0.99733,1.00928,0.98105,0.98496,4410,0,0
2016-03-11 00:00:00,0.985,0.98907,0.98033,0.98248,1497,0,0
2016-03-14 00:00:00,0.98386,0.98818,0.98169,0.98725,960,0,0
2016-03-15 00:00:00,0.98725,0.98957,0.98494,0.98716,918,0,0
2016-03-16 00:00:00,0.98717,0.99136,0.97505,0.9768,2226,0,0
2016-03-17 00:00:00,0.97678,0.9787,0.9651,0.96758,1801,0,0
2016-03-18 00:00:00,0.96761,0.97175,0.96552,0.96958,1050,0,0
2016-03-21 00:00:00,0.97021,0.97305,0.96755,0.96985,1065,0,0
2016-03-22 00:00:00,0.96989,0.97365,0.96887,0.97276,670,0,0
2016-03-23 00:00:00,0.97273,0.97662,0.9726,0.97523,555,0,0
2016-03-24 00:00:00,0.97526,0.97737,0.97374,0.97569,684,0,0
2016-03-25 00:00:00,0.97568,0.97876,0.97515,0.97749,542,0,0
2016-03-28 00:00:00,0.9775,0.97863,0.9723,0.97382,899,0,0
2016-03-29 00:00:00,0.97381,0.97629,0.96581,0.96675,1391,0,0
2016-03-30 00:00:00,0.9668,0.96768,0.95928,0.965,1501,0,0
2016-03-31 00:00:00,0.96499,0.96631,0.95718,0.96178,1506,0,0
2016-04-01 00:00:00,0.96179,0.96258,0.95564,0.95825,1035,0,0
2016-04-04 00:00:00,0.9579,0.96151,0.9573,0.95892,741,0,0
2016-04-05 00:00:00,0.95894,0.96047,0.95467,0.9561,877,0,0
2016-04-06 00:00:00,0.95612,0.96222,0.95306,0.95576,1797,0,0
2016-04-07 00:00:00,0.95575,0.95812,0.95219,0.95575,1187,0,0
2016-04-08 00:00:00,0.95573,0.95826,0.95253,0.95339,913,0,0
2016-04-11 00:00:00,0.95268,0.95706,0.95027,0.95411,1216,0,0
2016-04-12 00:00:00,0.95407,0.95938,0.94993,0.95516,1782,0,0
2016-04-13 00:00:00,0.95504,0.9672,0.95496,0.96688,1265,0,0
2016-04-14 00:00:00,0.96685,0.96882,0.96378,0.96686,1008,0,0
2016-04-15 00:00:00,0.96687,0.96882,0.96484,0.96783,701,0,0
2016-04-18 00:00:00,0.96533,0.96791,0.9628,0.96434,924,0,0
2016-04-19 00:00:00,0.96428,0.96504,0.95851,0.96189,1068,0,0
2016-04-20 00:00:00,0.96197,0.97333,0.9603,0.9722,1584,0,0
2016-04-21 00:00:00,0.97215,0.97531,0.96481,0.97515,1801,0,0
2016-04-22 00:00:00,0.97519,0.9797,0.97326,0.97857,951,0,0
2016-04-25 00:00:00,0.97932,0.97932,0.97366,0.97507,708,0,0
2016-04-26 00:00:00,0.97503,0.9767,0.97016,0.97354,1160,0,0
2016-04-27 00:00:00,0.97355,0.9754,0.96806,0.97104,1218,0,0
2016-04-28 00:00:00,0.97104,0.97337,0.96568,0.96666,1101,0,0
2016-04-29 00:00:00,0.96666,0.96717,0.95682,0.9598,1385,0,0
2016-05-02 00:00:00,0.9582,0.96052,0.95352,0.95438,1019,0,0
2016-05-03 00:00:00,0.95428,0.95543,0.94444,0.95442,2185,0,0
2016-05-04 00:00:00,0.95443,0.95901,0.95329,0.95758,830,0,0
2016-05-05 00:00:00,0.95762,0.96965,0.95689,0.96771,1544,0,0
2016-05-06 00:00:00,0.96774,0.97295,0.96513,0.9725,1089,0,0
2016-05-09 00:00:00,0.97233,0.97361,0.96843,0.97125,929,0,0
2016-05-10 00:00:00,0.97122,0.9763,0.96987,0.97603,806,0,0
2016-05-11 00:00:00,0.97604,0.97619,0.96988,0.97105,764,0,0
2016-05-12 00:00:00,0.97104,0.9726,0.96638,0.97043,1184,0,0
2016-05-13 00:00:00,0.9703,0.97748,0.97019,0.97537,952,0,0
2016-05-16 00:00:00,0.97529,0.97845,0.97478,0.97767,497,0,0
2016-05-17 00:00:00,0.97765,0.98087,0.97514,0.98052,860,0,0
2016-05-18 00:00:00,0.98044,0.98805,0.97986,0.9877,913,0,0
2016-05-19 00:00:00,0.98772,0.99227,0.9863,0.99057,910,0,0
2016-05-20 00:00:00,0.99058,0.99271,0.98964,0.99019,576,0,0
2016-05-23 00:00:00,0.99115,0.99237,0.98834,0.98946,638,0,0
