time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2015-09-02 00:00:00,1.13145,1.13195,1.12166,1.1227,1184,0,0,2015-09-02 00:00:00,2015-09-02 00:00:00
2015-09-03 00:00:00,1.12271,1.12436,1.10874,1.11232,2086,0,0,2015-09-03 00:00:00,2015-09-03 00:00:00
2015-09-04 00:00:00,1.11234,1.1191,1.10894,1.11474,1793,0,0,2015-09-04 00:00:00,2015-09-04 00:00:00
2015-09-07 00:00:00,1.11634,1.11778,1.11216,1.11703,1056,0,0,2015-09-07 00:00:00,2015-09-07 00:00:00
2015-09-08 00:00:00,1.11704,1.12297,1.11528,1.12026,1217,0,0,2015-09-08 00:00:00,2015-09-08 00:00:00
2015-09-09 00:00:00,1.12027,1.12165,1.11319,1.12072,1648,0,0,2015-09-09 00:00:00,2015-09-09 00:00:00
2015-09-10 00:00:00,1.12075,1.12955,1.11718,1.128,1750,0,0,2015-09-10 00:00:00,2015-09-10 00:00:00
2015-09-11 00:00:00,1.12798,1.13497,1.12542,1.13347,1362,0,0,2015-09-11 00:00:00,2015-09-11 00:00:00
2015-09-14 00:00:00,1.13327,1.13733,1.12835,1.13169,1639,0,0,2015-09-14 00:00:00,2015-09-14 00:00:00
2015-09-15 00:00:00,1.1317,1.13288,1.12586,1.12694,929,0,0,2015-09-15 00:00:00,2015-09-15 00:00:00
2015-09-16 00:00:00,1.12692,1.13208,1.12142,1.12903,1922,0,0,2015-09-16 00:00:00,2015-09-16 00:00:00
2015-09-17 00:00:00,1.12902,1.14415,1.12847,1.14348,1691,0,0,2015-09-17 00:00:00,2015-09-17 00:00:00
2015-09-18 00:00:00,1.14347,1.14602,1.12697,1.12989,2453,0,0,2015-09-18 00:00:00,2015-09-18 00:00:00
2015-09-21 00:00:00,1.12836,1.13302,1.11814,1.11903,2044,0,0,2015-09-21 00:00:00,2015-09-21 00:00:00
2015-09-22 00:00:00,1.11897,1.12078,1.11133,1.11207,1201,0,0,2015-09-22 00:00:00,2015-09-22 00:00:00
2015-09-23 00:00:00,1.11199,1.12133,1.11053,1.11858,1502,0,0,2015-09-23 00:00:00,2015-09-23 00:00:00
2015-09-24 00:00:00,1.11859,1.12959,1.11647,1.12304,2180,0,0,2015-09-24 00:00:00,2015-09-24 00:00:00
2015-09-25 00:00:00,1.12304,1.12336,1.11163,1.12071,2114,0,0,2015-09-25 00:00:00,2015-09-25 00:00:00
2015-09-28 00:00:00,1.1188,1.12478,1.11469,1.12447,1452,0,0,2015-09-28 00:00:00,2015-09-28 00:00:00
2015-09-29 00:00:00,1.12446,1.12815,1.1194,1.12484,1713,0,0,2015-09-29 00:00:00,2015-09-29 00:00:00
2015-09-30 00:00:00,1.12491,1.12616,1.11575,1.11769,1361,0,0,2015-09-30 00:00:00,2015-09-30 00:00:00
2015-10-01 00:00:00,1.11767,1.12091,1.11352,1.11952,1294,0,0,2015-10-01 00:00:00,2015-10-01 00:00:00
2015-10-02 00:00:00,1.11959,1.13185,1.11506,1.12147,3171,0,0,2015-10-02 00:00:00,2015-10-02 00:00:00
2015-10-05 00:00:00,1.12206,1.12894,1.11737,1.1188,1989,0,0,2015-10-05 00:00:00,2015-10-05 00:00:00
2015-10-06 00:00:00,1.11882,1.12796,1.11721,1.12719,1314,0,0,2015-10-06 00:00:00,2015-10-06 00:00:00
2015-10-07 00:00:00,1.12722,1.12842,1.12115,1.12377,1110,0,0,2015-10-07 00:00:00,2015-10-07 00:00:00
2015-10-08 00:00:00,1.12374,1.13267,1.12347,1.12763,1452,0,0,2015-10-08 00:00:00,2015-10-08 00:00:00
2015-10-09 00:00:00,1.12762,1.13871,1.12671,1.13612,1551,0,0,2015-10-09 00:00:00,2015-10-09 00:00:00
2015-10-12 00:00:00,1.13629,1.13969,1.1354,1.13585,815,0,0,2015-10-12 00:00:00,2015-10-12 00:00:00
2015-10-13 00:00:00,1.13586,1.1411,1.13444,1.13791,1128,0,0,2015-10-13 00:00:00,2015-10-13 00:00:00
2015-10-14 00:00:00,1.1379,1.1489,1.13779,1.14738,1275,0,0,2015-10-14 00:00:00,2015-10-14 00:00:00
2015-10-15 00:00:00,1.14738,1.14952,1.13634,1.13857,1756,0,0,2015-10-15 00:00:00,2015-10-15 00:00:00
2015-10-16 00:00:00,1.13891,1.13966,1.13345,1.13502,854,0,0,2015-10-16 00:00:00,2015-10-16 00:00:00
2015-10-19 00:00:00,1.13583,1.13791,1.13058,1.1327,1154,0,0,2015-10-19 00:00:00,2015-10-19 00:00:00
2015-10-20 00:00:00,1.13271,1.13872,1.13242,1.13459,1073,0,0,2015-10-20 00:00:00,2015-10-20 00:00:00
2015-10-21 00:00:00,1.13462,1.13775,1.13345,1.13388,787,0,0,2015-10-21 00:00:00,2015-10-21 00:00:00
2015-10-22 00:00:00,1.1339,1.13512,1.11005,1.11086,2711,0,0,2015-10-22 00:00:00,2015-10-22 00:00:00
2015-10-23 00:00:00,1.11084,1.11398,1.09966,1.10086,1867,0,0,2015-10-23 00:00:00,2015-10-23 00:00:00
2015-10-26 00:00:00,1.10019,1.10684,1.10019,1.1058,770,0,0,2015-10-26 00:00:00,2015-10-26 00:00:00
2015-10-27 00:00:00,1.10581,1.10786,1.10305,1.10501,883,0,0,2015-10-27 00:00:00,2015-10-27 00:00:00
2015-10-28 00:00:00,1.10505,1.10957,1.08971,1.09233,2701,0,0,2015-10-28 00:00:00,2015-10-28 00:00:00
2015-10-29 00:00:00,1.09233,1.09858,1.0903,1.09775,1115,0,0,2015-10-29 00:00:00,2015-10-29 00:00:00
2015-10-30 00:00:00,1.09778,1.10724,1.09677,1.09934,1939,0,0,2015-10-30 00:00:00,2015-10-30 00:00:00
2015-11-02 00:00:00,1.1036,1.10528,1.10004,1.10158,847,0,0,2015-11-02 00:00:00,2015-11-02 00:00:00
2015-11-03 00:00:00,1.10158,1.10301,1.09362,1.09643,1364,0,0,2015-11-03 00:00:00,2015-11-03 00:00:00
2015-11-04 00:00:00,1.09645,1.0968,1.08441,1.08657,1491,0,0,2015-11-04 00:00:00,2015-11-04 00:00:00
2015-11-05 00:00:00,1.08657,1.08975,1.08337,1.0884,1094,0,0,2015-11-05 00:00:00,2015-11-05 00:00:00
2015-11-06 00:00:00,1.0884,1.08939,1.07075,1.07413,2302,0,0,2015-11-06 00:00:00,2015-11-06 00:00:00
2015-11-09 00:00:00,1.07302,1.07901,1.07198,1.0751,1199,0,0,2015-11-09 00:00:00,2015-11-09 00:00:00
2015-11-10 00:00:00,1.07514,1.07641,1.06744,1.07245,1526,0,0,2015-11-10 00:00:00,2015-11-10 00:00:00
2015-11-11 00:00:00,1.07244,1.07739,1.07057,1.07422,1187,0,0,2015-11-11 00:00:00,2015-11-11 00:00:00
2015-11-12 00:00:00,1.0743,1.08304,1.06914,1.08139,2072,0,0,2015-11-12 00:00:00,2015-11-12 00:00:00
2015-11-13 00:00:00,1.08142,1.0817,1.07142,1.07516,1431,0,0,2015-11-13 00:00:00,2015-11-13 00:00:00
2015-11-16 00:00:00,1.07412,1.07582,1.06748,1.06864,1121,0,0,2015-11-16 00:00:00,2015-11-16 00:00:00
2015-11-17 00:00:00,1.06866,1.06908,1.06311,1.06424,753,0,0,2015-11-17 00:00:00,2015-11-17 00:00:00
2015-11-18 00:00:00,1.06421,1.06923,1.06172,1.06592,1332,0,0,2015-11-18 00:00:00,2015-11-18 00:00:00
2015-11-19 00:00:00,1.06596,1.0763,1.06555,1.07341,1406,0,0,2015-11-19 00:00:00,2015-11-19 00:00:00
2015-11-20 00:00:00,1.0734,1.07386,1.06409,1.06426,1041,0,0,2015-11-20 00:00:00,2015-11-20 00:00:00
2015-11-23 00:00:00,1.06393,1.06569,1.05927,1.06364,1256,0,0,2015-11-23 00:00:00,2015-11-23 00:00:00
2015-11-24 00:00:00,1.06362,1.06734,1.06199,1.06431,1002,0,0,2015-11-24 00:00:00,2015-11-24 00:00:00
2015-11-25 00:00:00,1.06429,1.06893,1.05661,1.06244,2280,0,0,2015-11-25 00:00:00,2015-11-25 00:00:00
