time,open,high,low,close,tick_volume,spread,real_volume
2015-09-01 00:00:00,0.71136,0.71538,0.70149,0.70175,1818,0,0
2015-09-02 00:00:00,0.70177,0.70489,0.69827,0.70385,1117,0,0
2015-09-03 00:00:00,0.70385,0.70629,0.69926,0.70176,1198,0,0
2015-09-04 00:00:00,0.70174,0.70216,0.69087,0.69143,1228,0,0
2015-09-07 00:00:00,0.6925,0.69502,0.69129,0.69247,744,0,0
2015-09-08 00:00:00,0.6925,0.70397,0.69239,0.7017,1397,0,0
2015-09-09 00:00:00,0.70171,0.707,0.7006,0.70184,1268,0,0
2015-09-10 00:00:00,0.7019,0.70997,0.69461,0.70718,2545,0,0
2015-09-11 00:00:00,0.70721,0.70924,0.70356,0.70855,1003,0,0
2015-09-14 00:00:00,0.70846,0.71516,0.70635,0.71374,1235,0,0
2015-09-15 00:00:00,0.71374,0.71659,0.70856,0.71417,1564,0,0
2015-09-16 00:00:00,0.71414,0.72,0.71232,0.71967,984,0,0
2015-09-17 00:00:00,0.71975,0.72756,0.71381,0.71739,2515,0,0
2015-09-18 00:00:00,0.71746,0.72796,0.71633,0.7187,2203,0,0
2015-09-21 00:00:00,0.71834,0.71973,0.71219,0.71314,989,0,0
2015-09-22 00:00:00,0.71322,0.71591,0.70571,0.70895,1614,0,0
2015-09-23 00:00:00,0.70895,0.7091,0.69891,0.7003,1174,0,0
2015-09-24 00:00:00,0.70029,0.70428,0.69388,0.70253,1857,0,0
2015-09-25 00:00:00,0.7025,0.70426,0.69792,0.70246,1265,0,0
2015-09-28 00:00:00,0.70292,0.70363,0.69794,0.6989,737,0,0
2015-09-29 00:00:00,0.69891,0.70238,0.69371,0.69843,1687,0,0
2015-09-30 00:00:00,0.69855,0.70384,0.69837,0.70174,776,0,0
2015-10-01 00:00:00,0.70178,0.70848,0.69988,0.70298,1601,0,0
2015-10-02 00:00:00,0.7029,0.70679,0.70026,0.70423,1174,0,0
2015-10-05 00:00:00,0.70563,0.7111,0.70429,0.7083,1096,0,0
2015-10-06 00:00:00,0.70836,0.71754,0.70682,0.71651,1330,0,0
2015-10-07 00:00:00,0.71656,0.72347,0.71499,0.72081,1272,0,0
2015-10-08 00:00:00,0.72077,0.72715,0.71652,0.72592,1612,0,0
2015-10-09 00:00:00,0.72592,0.73442,0.72483,0.73278,1233,0,0
